Emirate ,Main Area,Sub Area,Area known locally 
Abu Dhabi,Outer City Area,Abu Dhabi Beach,Zayed City
Abu Dhabi,Outer City Area,Abu Dhabi Gate City,Al Adla
Abu Dhabi,Outer City Area,Airport Road,Al Shamkha East
Abu Dhabi,Outer City Area,Al Bateen,Al Shamkha South
Abu Dhabi,Outer City Area,Al Dana,Al Shawamekh
Abu Dhabi,Outer City Area,Al Danah,Khalifa City B
Abu Dhabi,Outer City Area,Al Dhafra,Motor World
Abu Dhabi,Outer City Area,Al Forsan Village,Shakhbout City
Abu Dhabi,City ,Al Ghazal Golf Club,Airport Road
Abu Dhabi,City ,Al Jubail Island,Al Nahyan
Abu Dhabi,City ,Al Khubeirah,Al Wahdah
Abu Dhabi,City ,Al Madina Al Riyadiya,Delma Street
Abu Dhabi,City ,Al Manhal,Qasr Al Bahr
Abu Dhabi,City ,Al Maqta,Muroor Street
Abu Dhabi,City ,Al Maryah Island,al falah street
Abu Dhabi,City ,Al Mina,al nahyan camp (muroor Road)
Abu Dhabi,City ,Al Muntazah,al wahda mall
Abu Dhabi,City ,Al Mushrif,defence streert
Abu Dhabi,City ,Al Nahyan,madinat zayed Gold centre
Abu Dhabi,City ,Al Naser Street,madinat zayed shopping centre
Abu Dhabi,City ,Al Qurm,madinat zayed city
Abu Dhabi,City ,Al Ras Al Akhdar,passport road
Abu Dhabi,City ,Al Rayyana,Zayed University Delma Street
Abu Dhabi,City ,Al Reem Island,Abu Dhabi Bateen beach
Abu Dhabi,City ,Al Rowdah Al Zaab,Al Bateen
Abu Dhabi,City ,Al Safarat,Al Khubeirah
Abu Dhabi,City ,Al Seef,Al Manhal
Abu Dhabi,City ,Al Wahdah,Al Naser Street
Abu Dhabi,City ,Al Zaab,Al Ras Al Akhdar/ emirates palace hotel
Abu Dhabi,City ,Al Zeina,Al Rowdah Al Zaab
Abu Dhabi,City ,Corniche,Al Zaab
Abu Dhabi,City ,Delma Street,Khaleej Ul Arab Street
Abu Dhabi,City ,Electra Street,Khalidiyah
Abu Dhabi,City ,Grand Mosque District,Manasir
Abu Dhabi,City ,Hadabat Al Zaafaran,ADCO tower
Abu Dhabi,City ,Hamdan Street,ADIA (auh investment authority)
Abu Dhabi,City ,ICAD 1,al bateen
Abu Dhabi,City ,ICAD 2,al nasr st
Abu Dhabi,City ,ICAD 3,auh golf club
Abu Dhabi,City ,Khaleej Ul Arab Street,bateen mall
Abu Dhabi,City ,Khalidiyah,burooj Tower
Abu Dhabi,City ,Khalifa City A,Coniche Road
Abu Dhabi,City ,Khor Al-Raha,istqlal st
Abu Dhabi,City ,Liwa Street,khalidiya mall
Abu Dhabi,City ,Lulu Island,marina mall
Abu Dhabi,City ,Mahawi,shiekh Khlifah Medical Center(SKMC)
Abu Dhabi,City ,Manasir,Al Danah
Abu Dhabi,City ,Mangrove Village,Al Dhafra
Abu Dhabi,City ,Masdar City,Electra Street
Abu Dhabi,City ,Mazayed Village,Hamdan Street
Abu Dhabi,City ,Mohammed Bin Zayed City,Najda street
Abu Dhabi,City ,Muroor Street,Liwa Street
Abu Dhabi,City ,Mussafah Industrial Area M1,Tourist Club Area
Abu Dhabi,City ,Mussafah Industrial Area M10,Abu dhabi mall
Abu Dhabi,City ,Mussafah Industrial Area M11,Adgas TOWER
Abu Dhabi,City ,Mussafah Industrial Area M12,adma opco (tower)
Abu Dhabi,City ,Mussafah Industrial Area M13,auh municipality
Abu Dhabi,City ,Mussafah Industrial Area M14,Electra st
Abu Dhabi,City ,Mussafah Industrial Area M15,hamdan st
Abu Dhabi,City ,Mussafah Industrial Area M16,khalifa st
Abu Dhabi,City ,Mussafah Industrial Area M17,mina st
Abu Dhabi,City ,Mussafah Industrial Area M18,najda st
Abu Dhabi,City ,Mussafah Industrial Area M19,old mazda area (tourist club area)
Abu Dhabi,City ,Mussafah Industrial Area M2,salam street
